comment,play,title,aid,length
1273,2085752,华农兄弟：这12只出生20多天的中华田园犬，摸起来肥嘟嘟的，挺可爱的,30247126,01:42
489,717462,华农兄弟：家里2条狗狗，同一晚各生了6只小狗，刚出生挺可爱的,30247065,01:31
5305,2129580,华农兄弟：出生20多天的小狗会走了，肥嘟嘟的，带它们晒晒太阳,50874970,06:20
3922,2016643,华农兄弟：摘了点野芹菜，放点油盐一炒，味道还可以,50722048,04:59
6211,2511875,华农兄弟：掰点兄弟家的小竹笋跟猪肉一起炒，味道好极了,50279147,09:13
5035,1807450,华农兄弟：山上的萢子熟了，又大又红，摘点串起来吃,50070850,04:17
4065,1593643,华农兄弟：竹鼠日常检查，看下有没有打架，受伤，忧郁的,49889246,05:17
5511,2397900,华农兄弟：兄弟不在家，摘点他家的茶叶，炒干泡茶喝,49678712,05:28
4637,3144822,华农兄弟：又到了吃虫子的季节，放点孜然烤一烤，又香又脆，很美味哦,79234190,09:38
5606,2053470,华农兄弟：把兄弟送的红鲤鱼放池子里养着，再去摘点他家的柿子来吃,79121859,08:29
5031,2780297,华农兄弟：抬了个兄弟家的烤炉回来，顺便再去抓只兄弟家的鸡来烤,78762721,08:23
3178,2412038,华农兄弟：小狗崽和小猪崽长肥了不少，看起来圆溜溜，胖墩墩的,78662262,07:19
4469,2569395,华农兄弟：最近天气干燥，摄影小哥又上火了，挖点葛根来炖竹鼠,78411905,07:10
4212,2610310,华农兄弟：抓了只鸡，刚好兄弟来了，一起烤鸡，顺便再烤点排骨,78280301,12:24
8743,5166962,华农兄弟：猪吃酒糟醉了，叫兄弟帮忙一起宰猪，烤起来很香哦,77360276,07:55
6603,2434049,华农兄弟：狗子又下崽了，带大家看一下，顺便给香猪喂一点酒糟,77256175,12:05
4335,2441876,华农兄弟：一年又快过去了，兄弟家野池塘的鱼也长大了，网点来煎,77071016,14:19
837,910630,华农兄弟：去小山沟里放竹笼，装到不少螃蟹，收获还可以哦,30120618,03:58
3568,2955054,华农兄弟：1000多块钱1斤的红菇，去大山里摘了1天，摘到好几斤,30119039,05:57
3976,4313138,华农兄弟：这只竹鼠打架受内伤，没办法，只好把它煮了，味道鲜嫩可口,30087657,05:08
2583,2398182,华农兄弟：这只竹鼠打架受了重伤，没办法，只好把它烤了,30085242,03:46
10920,6182441,华农兄弟：兄弟送来一只鸽子，整天不吃不喝，只好把它烤了,59252494,11:28
3394,2302958,华农兄弟：西西下崽了，给小白看一下，顺便检查一下黑竹鼠,58588771,06:33
6453,3171518,华农兄弟：好不容易抓到一只笋虫，刚炸好准备吃，结果被狗吃了,58087178,05:43
17657,2485427,华农兄弟：再来征集一下狗子的名字，上次网友取得名字太不正经了,57784220,05:02
5476,2628502,华农兄弟：给猪喂点青菜，顺便抽一下公猪，不然老是带坏小猪,57597322,03:25
478,901917,华农兄弟：去大山里采摘椴木香菇，虽然产量不高，但味道很鲜美,30246702,02:45
1808,2515361,华农兄弟：这种虫子串起来烤，太美味了，鸡肉味嘎嘣脆,30216252,02:28
